split ID,account ID,行程名稱,記帳名稱,旅伴名稱,分攤金額,分攤幣別,台幣結算,insert date,update date
spl000282,acc00086,Comodi IIDA Hirai,家附近的超市店,瓜,-3109,JPY,-629.5725,2026-04-26 8:41:52,2026-04-26 8:41:52
spl000283,acc00087,3COINSstation Shinjuku Station south exit shop,3coins免稅購物,油,-3376,JPY,-683.64,2026-04-26 8:42:19,2026-04-26 8:42:19
spl000284,acc00087,3COINSstation Shinjuku Station south exit shop,3coins免稅購物,瓜,-2310,JPY,-467.775,2026-04-26 8:42:19,2026-04-26 8:42:19
spl000285,acc00088,平井親和会 商店街振興組合,油扭蛋,油,-900,JPY,-182.25,2026-04-26 8:43:21,2026-04-26 8:43:21
spl000286,acc00088,平井親和会 商店街振興組合,油扭蛋,瓜,0,JPY,0,2026-04-26 8:43:21,2026-04-26 8:43:21
spl000287,acc00089,無印良品 LUMINE新宿店,油無印良品,油,-2850,JPY,-577.125,2026-04-26 8:43:53,2026-04-26 8:43:53
spl000288,acc00089,無印良品 LUMINE新宿店,油無印良品,瓜,0,JPY,0,2026-04-26 8:43:53,2026-04-26 8:43:53
spl000289,acc00104,平井親和会 商店街振興組合,油的上班包包,油,-4290,JPY,-868.725,2026-04-26 8:44:14,2026-04-26 8:44:14
spl000290,acc00104,平井親和会 商店街振興組合,油的上班包包,瓜,0,JPY,0,2026-04-26 8:44:14,2026-04-26 8:44:14
spl000291,acc00113,,儲值西瓜卡總金額,油,-5000,JPY,-1012.5,2026-04-26 8:45:43,2026-04-26 8:45:43
spl000292,acc00113,,儲值西瓜卡總金額,瓜,0,JPY,0,2026-04-26 8:45:43,2026-04-26 8:45:43
spl000293,acc00114,,[回饋] (acc00113) 儲值西瓜卡總金額,油,15.1875,TWD,15.1875,2026-04-26 8:45:43,2026-04-26 8:45:43
